"filename", "language", "YAML", "JSON with Comments", "JSON", "JavaScript", "Markdown", "TypeScript", "JavaScript JSX", "TypeScript JSX", "XML", "PostCSS", "comment", "blank", "total"
"d:\APPS\WEB\bodilum\bodilum-v1\README.md", "Markdown", 0, 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 43, 136
"d:\APPS\WEB\bodilum\bodilum-v1\apps\admin\README.md", "Markdown", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 14, 37
"d:\APPS\WEB\bodilum\bodilum-v1\apps\admin\app\globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 5, 27
"d:\APPS\WEB\bodilum\bodilum-v1\apps\admin\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 5, 35
"d:\APPS\WEB\bodilum\bodilum-v1\apps\admin\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
"d:\APPS\WEB\bodilum\bodilum-v1\apps\admin\eslint.config.mjs", "JavaScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 2, 3, 19
"d:\APPS\WEB\bodilum\bodilum-v1\apps\admin\next.config.ts", "TypeScript", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 3, 8
"d:\APPS\WEB\bodilum\bodilum-v1\apps\admin\package-lock.json", "JSON", 0, 0, 6577, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6578
"d:\APPS\WEB\bodilum\bodilum-v1\apps\admin\package.json", "JSON", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28
"d:\APPS\WEB\bodilum\bodilum-v1\apps\admin\postcss.config.mjs", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"d:\APPS\WEB\bodilum\bodilum-v1\apps\admin\public\file.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\APPS\WEB\bodilum\bodilum-v1\apps\admin\public\globe.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
